Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
116,Social Study,2,Mother Earth,Vk Malhotra ,Three Star Publication,,Rs 149,Satisfactory,8428,4
117,Social Study,10,Naveen High School Bhugol,Dr Suresh Prasad ,Bharti Bhawan ,2008,Rs 38,Satisfactory,8428,4
118,Social Study,2,Samajik Parichay,Babu Nand Prasad,Holy Spirit ,,Rs 36,Satisfactory,8428,4
119,Social Study,3,Samajik Adhyayan ,,Pragya,,Rs 38,Satisfactory,8428,4
120,Social Study,9,Naveen High School Bhugol,Suresh Prasad ,Bharti Bhawan ,2003,Rs 19,Satisfactory,8428,4
121,Social Study,1,Summet Samajik Adhyayan,,Sumit ,,,Satisfactory,8428,4
122,Social Study,3,Oscar Social Science ,Geeta Malhotra ,Three Star Publication,Cce,RS140,Satisfactory,8428,4
123,Social Study,3,An Informative Social Study,Augustine Manoor  ,Pacific ,2017,,Satisfactory,8428,4
124,Social Study,7,Our World then and Now ,Saganika Mukherji,Bharti Bhawan ,2017,Rs280,Satisfactory,8428,4
125,Social Study,6,Awareness Social Science,Suman Gupta,S.Chand ,2015,Rs315,Satisfactory,8428,4
126,Social Study,6,New learnwell Social studies,Anubha Jain,Holy faith international (p) ltd,,Rs 350,Satisfactory,8428,4
127,Social Study,6,Our World then and Now ,Saganika Mukherji,Bharti Bhawan ,2017,RS265,Satisfactory,8428,4
128,Social Study,6,Oscar Social Science ,Geeta Malhotra ,Three Star Publication,Cce,Rs220,Satisfactory,8428,4
129,Social Study,6,Learning Edge Social science,"chhavi Goyal,Namrata Bahadur",Eduline Publication,2017,RS 390,Satisfactory,8428,4
130,Social Study,7,Srijan Social Science ,"Padmini sriraman,Prerna Pasricha",Srijan,,Rs 399,Satisfactory,8428,4
131,Social Study,7,Integrated Social Science ,Rk jain ,Ratna Sagar,Cce,Rs 439,Satisfactory,8428,4
132,Social Study,7,New Milestones,Mary George,Madhuban Educational Book,2017,Rs390,Satisfactory,8428,4
133,Social Study,7,New learnwell Social studies,"Kk Gujral,Anubha Jain  ",Holy faith international (p) ltd,,Rs360,Satisfactory,8428,4
134,Social Study,7,Learning Edge Social studies,"chhavi Goyal,Namrata Bahadur",Eduline Publication,2017,Rs390,Satisfactory,8428,4
135,Social Study,7,Oscar Social Science ,Geeta Malhotra ,Three Star Publication,Cce,RS230,Satisfactory,8428,4
136,Social Study,8,Learning Edge Social Science,"chhavi Goyal,Namrata Bahadur",Eduline Publication,2017,Rs390,Satisfactory,8428,4
137,Social Study,8,Sugam Nagrik Sashtra,Birendra Kr Singh,Bharti Bhawan ,2002,Rs 30,Satisfactory,8428,4
138,Social Study,8,Our World then and Now ,Saganika Mukherji,Bharti Bhawan ,2015,Rs 300,Satisfactory,8428,4
139,Social Study,8,Oscar Social Science ,Geeta Malhotra ,Three Star Publication,Cce,RS250,Satisfactory,8428,4
