Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
3983,HINDI,, स्वतंत्रता सेनानी वीर आदिवासी, संतोष दास, किताब घर,1993,,satisfactory,8330,3
3984,HINDI,, खरा से, गुलजार, राधाकृष्ण प्रकाशन,2004,125,satisfactory,8330,3
3985,HINDI,, अंग्रेजी हिंदी जुलियस सीजर , अरविंद कुमार, राधाकृष्ण प्रकाशन,1993,195,satisfactory,8330,3
3986,HINDI,, विद्रोह का महावीर, डेनिश किन्केड, सूचना और प्रसारण,2003,2.25,satisfactory,8330,3
3987,HINDI,, काला घोड़ा, सुरेश सलील, शिक्षा भारती,2004,8,satisfactory,8330,3
3988,HINDI,, चरित्र बल, जगत राम आर्य,किताब घर,1962,85,satisfactory,8330,3
3989,HINDI,, दहेज की बुराइयां, रामचंद्र कपूर, ग्रंथ अकादमी,1988,20,satisfactory,8330,3
3990,HINDI,, सप्त सुमन,प्रेमचंद्र, सरस्वती प्रेस,1994,30,satisfactory,8330,3
3991,HINDI,,    क्या कलम यह कागज या अक्षर, अमृत प्रीतम, राजपाल एंड संस,2004,65,satisfactory,8330,3
3992,HINDI,, रामलीला, सरल प्रेमचंद, समाज शिक्षा प्रकाशन,1993,10,satisfactory,8330,3
3993,HINDI,, सीपी और शंख, नेशनल हाउस,सीपी और शंकर,1991,33,satisfactory,8330,3
3994,HINDI,,पथ का पाप, रांगेय राघव,राजपाल एंड संस,1989,20,satisfactory,8330,3
3995,HINDI,, पथ का पाप, अभिमन्यु , राजकमल प्रकाशन,,38,satisfactory,8330,3
3996,HINDI,, गांधी जी बोले थे, आर ०एम ०लाल, राजकमल प्रकाशन,1984,30,satisfactory,8330,3
3997,HINDI,, समृद्धि का सदुपयोग, नीलिमा सिंह, चिल्ड्रंस बुक,1984,,satisfactory,8330,3
3998,HINDI,, अपूर्व साहस,दिनेश कुमार कुमार, जिसका खान,1984,95,satisfactory,8330,3
3999,HINDI,, जिसका खाना उसी का गाना, डॉ राजेंद्र,ब्लूप्रिंट,1989,75,satisfactory,8330,3
4000,SANSKRIT,2,संस्कृतपुष्पम, डॉ राजेंद्र,ब्लूप्रिंट,2019,258.8,GOOD,,
4001,SANSKRIT,3,संस्कृतपुष्पम, डॉ राजेंद्र,ब्लूप्रिंट,2019,268.8,GOOD,,
4002,HINDI,,ज्ञानरंजन प्रतिनिधि कहानियां,ज्ञानरंजन, राजकमल प्रकाशन,,,GOOD,,
4003,HINDI,,ज्ञान योग स्वामी विवेकानंद,श्री अमल सरकार,राम कृष्ण मठ,1987,45,GOOD,,
4004,Rhymas,,झरना,हरिशंकर कश्यप,प्रभात प्रकाशन,2004,20,GOOD,,
4005,Hindi story,,मुझे सो सुबुद्धि मान,ललित नारायण उपाध्याय,विद्या विहार,2003,20,GOOD,,
4006,Hindi practice,1,हिंदी रीडर,मीरा कुमारी,भारती भवन,1990,5.5,GOOD,,
4007,Magzing,,नंदन,,इंडियन बुक डिपो,2015,12,GOOD,,
4008,Hindi story,,मेहनत का फल,सैयद असद अली,ग्रंथ अकादमी,1989,12,GOOD,,
4009,Hindi story,,मौसी ने कही कहानी,वर्षा दास,,1990,15,GOOD,,
4010,Hindi ,,हितोपदेश,विष्णु शर्मा,मनोज पब्लिकेशन,2014,,GOOD,,
4012,Hindi language,4,व्याकरण पराग, आदित्य कुमार मिश्र, सोम सुधा प्रकाशन,2012,120,GOOD,,
4013,Hindi,, प्रतिनिधि कहानियां,ज्ञानरंजन, राजकमल प्रकाशन,1988,0,GOOD,,
4014,English,3, एक्सीलेंस इन इंग्लिश, श्रीमती आभा मोहन, प्राची,2015,200,GOOD,,
4015,Math,1, गणित परिचय, रामरक्षा प्रसाद राय,भारती भवन,2015,72,GOOD,,
4016,Evs,1, एनवायरमेंटल स्टडीज, मधुबन एजुकेशनल पैनल, इंप्रेशन,2020,348,GOOD,,
4017,Evs,2, एनवायरमेंटल स्टडीज, मधुबन एजुकेशनल पैनल, इंप्रेशन,2020,348,GOOD,,
4018,Evs,2, एनवायरमेंटल स्टडीज, स्किलिंग शर्मा गगनीत कौर, होली फेथ,2020,230,GOOD,,
4019,Evs,3, एनवायरमेंटल स्टडीज, स्किलिंग शर्मा गगनीत कौर, होली फेथ,2020,230,GOOD,,
4020,Evs,4, एनवायरमेंटल स्टडीज, स्किलिंग शर्मा गगनीत कौर, होली फेथ,2020,250,GOOD,,
4021,Scince,5, फन विद साइंस, उत्पल महापात्रा,जेम्स,2020,375,GOOD,,
4022,Scince,3, फन विद साइंस, जूली विश्वास,जेम्स,2020,305,GOOD,,
4023,Scince,4, फन विद साइंस, जूली विश्वास,जेम्स,2020,335,GOOD,,
4024,Scince,5, ममता इंग्लिश रीडर, जूली विश्वास,  ममता प्रकाशन,,34,GOOD,,
4025,English,4, मलबेरी, रंजन प्रकाश, ऑक्सफोर्ड,2017,204,GOOD,,
4026,English,2, मलबेरी, अनीता ली, ऑक्सफोर्ड,2016,188,GOOD,,
4027,English,3, मलबेरी, अनीता ली, ऑक्सफोर्ड,2017,192,GOOD,,
4028,English,1, मलबेरी, अनीता ली, ऑक्सफोर्ड,2017,179,GOOD,,
4029,English,pp, लिटिल हार्ड राइम्स, अनीता ली, शीशुमन पब्लिकेशन,2017,71,GOOD,,
4030,English Rhymes,pp, सचित्र वर्णन माला, सरोज सरकार, शीशुमन पब्लिकेशन,2017,66,GOOD,,
4031,Hindi,pp, लट्स राइट, सरोज सरकार, शीशुमन पब्लिकेशन,2017,84,GOOD,,
4032,English,pp, लट्स राइट, सरोज सरकार, शीशुमन पब्लिकेशन,2017,84,GOOD,,
4033, story book,,101  स्टोरी ऑफ ग्रैंड मदर, चित्र गर्ग, मनोज पब्लिकेशन,2016,100,GOOD,,
4034, story book,,101  स्टोरी ऑफ ग्रैंड मदर, विष्णु शर्मा, मनोज पब्लिकेशन,2014,100,GOOD,,
4035,Hindi ,, ढाई आखर, प्रेमचंद्र मन धन, अक्षर कुंभ,2008,150,GOOD,,
4036,Hindi ,,डॉ राधाकृष्णन, डॉ राधाकृष्णन, हिंदी पॉकेट बुक्स,1989,16,GOOD,,
4037,Hindi ,, जीत आपकी, शिव खेड़ा,मैकमिलन,2012,295,GOOD,,
4038,Hindi ,, यज्ञ से होगा सुनहरा करें, डॉक्टर रचना भारती, श्रीरंग प्रकाशन प्राइवेट लिमिटेड,2013,500,GOOD,,
4039,Hindi ,, टाटा स्टील जमशेदपुर और हम, डॉक्टर विद्यानंद शर्मा, शुभम पब्लिकेशन,2012,157,GOOD,,
4040,Hindi ,, गंगा चली गई, सीता सिंह, सहयोग प्रकाशन,2009,300,GOOD,,
4041,Hindi ,, सील सपूत, माधुरी मिश्रा, अभिधा प्रकाशन,2012,125,GOOD,,
4042,Hindi ,,गीतांजलि, नितिन पाल सूरी, अक्षर कुंभ,2008,100,GOOD,,
4043,Hindi ,,गीतांजलि आकाश का फूल, डॉक्टर मुरलीधरण श्रीवास्तव, सहयोग प्रकाशन,,250,GOOD,,
4044,Hindi ,,अंतर भाव, प्रेमलता ठाकुर, जेएमडी पब्लिकेशन,2013,200,GOOD,,
4045,Hindi ,, आज का सच, डॉक्टर रचना भारती, अक्षर संयोजन,2013,175,GOOD,,
4046,Hindi ,,नीड़ से क्षितिज, लक्ष्मी रानी लाल, मेधा बुक्स,2011,200,GOOD,,
4047,Hindi ,, गीली धूप, अरुण कुमार, अभिधा प्रकाशन,2006,80,GOOD,,
4048,Hindi ,, गरिमा, कल्याणी कबीर, किताब पब्लिकेशन,2013,125,GOOD,,
4049,Hindi ,, गरिमा, वीरेंद्र जैन, मधुबन,2016,365,GOOD,,
4050,Hindi ,, गरिमा, वीरेंद्र जैन, मधुबन,2017,335,GOOD,,
4051,Hindi ,,  भाषा अधिगम एवं व्याकरण, वीरेंद्र जैन, मधुबन,2017,320,GOOD,,
4052,Hindi ,,  भाषा अधिगम एवं व्याकरण, डॉक्टर देवेंद्र कुमार शर्मा, मधुबन,2017,280,GOOD,,
4053,Hindi language,8, व्याकरण  पुष्प, कुसुम अग्रवाल, ब्लूप्रिंट एजुकेशन,2016,398,GOOD,,
4054,Hindi language,7, व्याकरण  पुष्प, कुसुम अग्रवाल, ब्लूप्रिंट एजुकेशन,2016,390,GOOD,,
4055,Hindi language,6, व्याकरण  पुष्प, कुसुम अग्रवाल, ब्लूप्रिंट एजुकेशन,2016,380.8,GOOD,,
4056,Hindi language,5, व्याकरण  पुष्प, कुसुम अग्रवाल, ब्लूप्रिंट एजुकेशन,2016,278.8,GOOD,,
4057,Hindi language,4, व्याकरण  पुष्प, डॉक्टर प्रोमिला चोपड़ा, ब्लूप्रिंट एजुकेशन,2016,248.8,GOOD,,
4058,Hindi language,3, व्याकरण  पुष्प, डॉक्टर प्रोमिला चोपड़ा, ब्लूप्रिंट एजुकेशन,2016,228.8,GOOD,,
4059,Hindi language,2, व्याकरण  पुष्प, डॉक्टर प्रोमिला चोपड़ा, ब्लूप्रिंट एजुकेशन,2016,202.8,GOOD,,
4060,Hindi litreature,1, व्याकरण  पुष्प, डॉक्टर प्रोमिला चोपड़ा, ब्लूप्रिंट एजुकेशन,2016,178.8,GOOD,,
4061,Hindi litreature,8, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,346,GOOD,,
4062,Hindi litreature,7, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,337,GOOD,,
4063,Hindi litreature,6, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,328,GOOD,,
4064,Hindi litreature,5, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,295,GOOD,,
4065,Hindi litreature,4, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,295,GOOD,,
4066,Hindi litreature,3, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,277,GOOD,,
4067,Hindi litreature,2, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,265,GOOD,,
4068,Hindi litreature,1, मधुरस, श्री जितेंद्र शर्मा, रीम,2017,257,GOOD,,
4069,Hindi litreature,1, गुलमोहर, एमपी भास्कर, ओरियंट ब्लैकस्वान,2020,338,GOOD,,
4070,Hindi litreature,2, गुलमोहर, बी स सी कुणाल, ओरियंट ब्लैकस्वान,2020,352,GOOD,,
4071,Hindi litreature,3, गुलमोहर, उषा अरोड़ा, ओरियंट ब्लैकस्वान,2020,358,GOOD,,
4072,Hindi litreature,4, गुलमोहर, बैटरी सेवर रिचसों, ओरियंट ब्लैकस्वान,2020,366,GOOD,,
4073,Hindi litreature,5, गुलमोहर, के oएन oडेविड, ओरियंट ब्लैकस्वान,2020,372,GOOD,,
4074,HINDI,6, व्याकरण लतिका, प्रोफेसर  ठाकुरदास, मधुबन एजुकेशन,,128,GOOD,,
4075,HINDI,6, संगिनी पाठ्य पुस्तक,एस० के ०मित्तल, फ्रैंक एजुकेशनल ऐड्स,2015,265,GOOD,,
4076,HINDI,6, हिंदी व्याकरण, राधा तोमर, सोफिया पब्लिकेशन,2015,235,GOOD,,
4077,HINDI,8, हिंदी व्याकरण, डॉ अश्विनी, वेदर बुक्स प्राइवेट लिमिटेड,2003,67,GOOD,,
4078,HINDI,8, पायनियर भाषा प्रभा, शशि प्रकाश गुप्ता, हंस पब्लिकेशन,,95,GOOD,,
4079,HINDI,4, हिंदी व्याकरण, संजीव कुमार बंसल, तरुण पब्लिकेशन,,55,GOOD,,
4080,HINDI,3, सुगम हिंदी व्याकरण, डॉ भारती पांडे, कारवा पब्लिकेशंस,2014,199,GOOD,,
4081,HINDI,8, व्याकरण परिचय, आशुतोष कुमार सिंह, जेम्स एजुकेशनल बुक्स,2014,225,GOOD,,
4082,HINDI,8, व्याकरण निपुण, डॉ सुषमा , तरुण पब्लिकेशन,2003,275,GOOD,,
4083,HINDI,8, हिंदी व्याकरण परिचय, अखिलेश कुमार मिश्रा, विजन पब्लिकेशन,,48,GOOD,,
4084,HINDI,8, चंद्रकिरण, रमन मित्तल, फ्रैंक ब्रदर एंड कंपनी,2008,29,GOOD,,
4085,HINDI,6, भाषा तरंग, लोकेंद्र चतुर्वेदी, एलाइड पब्लिशर्स,2014,115,GOOD,,
4086,HINDI,1, मानक व्यवहारिक हिंदी व्याकरण, मीता श्रीवास्तव, आर्य बुक डिपो,,155,GOOD,,
4087,HINDI,6, ऐसी व्याकरण भारती, मोहित प्रकाशन, हरिश्चंद्र,2011,62,GOOD,,
4088,HINDI,, गद्य संकलन, कश्मीरी लाल सैनी, एवरग्रीन पब्लिकेशन,2007,14.1,GOOD,,
4089,HINDI,2, ज्योतिपुंज, विनोदिनी शर्मा, इंटर यूनिवर्सिटी,,30,GOOD,,
4090,HINDI,8, सुगम हिंदी, डॉ भारती पांडे, कारडोवा पब्लिकेशन,,325,GOOD,,
4091,HINDI,8, हिंदी पाठ्यपुस्तक,  निशा खत्री, नेवी हेड,,215,GOOD,,
4092,HINDI,6, एसपी व्याकरण, हरिश्चंद्र, मोहित प्रकाशन,2014,62,GOOD,,
4093,HINDI,3, व्याकरण बोध, डॉ कल्पना, आर्य पब्लिशिंग कंपनी,,84,GOOD,,
4094,HINDI,6, सूर्यांश, प्रियांश त्रिपाठी, हरिप्रिया,,99,GOOD,,
4095,HINDI,3,पराग हिंदी,मनीष शर्मा,सृजन,2011,279,GOOD,,
4096,HINDI,6,उमंग हिंदी,जे०पी ०तरंग,एफ ०के ०पब्लिकेशन,,65,GOOD,,
4097,HINDI,2,मृदुला,,जेंम्स एजुकेशनल,1994,129,GOOD,,
4098,HINDI,2,बाल भाषा,अभ्यास पुस्तिका,बाजूबंद एजुकेशनल,1973,60,GOOD,,
4099,HINDI,2,उत्कर्ष हिंदी,रमा गुप्ता,जी० राम बुक्स प्राइवेट लिमिटेड,,210,GOOD,,
4100,HINDI,6,मधुरा,आभा पांडे,सुमन प्रकाशन,,260,GOOD,,
4101,HINDI,8,ज्योतिपुंज,विनोदिनी शर्मा,डॉक्टर जयदेव,,80,GOOD,,
4102,HINDI,8,ज्ञान गंगा,प्रभाकर द्विवेदी,सुमन प्रकाशन,2003,59,GOOD,,
4103,HINDI,,आधुनिक भारत,,डॉक्टर जयदेव,,10.2,GOOD,,
4104,HINDI,,समाज अध्ययन,,बिहार स्टेट,,260,GOOD,,
4106,HINDI,7,व्यवहारिक हिंदी,डॉक्टर सोमनाथ,गोल्डन सर्किल,,59,GOOD,,
4107,HINDI,4,मृदुल हिंदी, आरती शर्मा,मोहित प्रकाशन,,,GOOD,,
4108,HINDI,4,एम०ए० व्याकरण भारती,हरीश चंद्र,लर्निंग लिंक्स,,,GOOD,,
4109,HINDI,5,सुरभि का,नीरा नारायण,सोनका पब्लिकेशन,,136,GOOD,,
4110,HINDI,3,मेरी व्याकरण,प्रभा शर्मा,प्राची इंडिया प्राइवेट लिमिटेड,,64,GOOD,,
4111,HINDI,7,भाषा अधिगम एवं व्याकरण, अंजू शर्मा,ए ०पी ०एम ०पब्लिकेशन,,240,GOOD,,
4112,HINDI,7,व्याकरण विवेक,डॉक्टर पवन कुमार,गोल्डन सर्किल,,280,GOOD,,
4113,Hindi,5,अनुराग,सत्य नारायण लाल अंकीम‌ चंद्र,ओरिएंटल लोंगमैन,2005,64,Good,8330,1
4114,Hindi,5,शिखर ,कृष्ण कुमार गोस्वामी,सृजन पब्लिशर्स,2014,249,Good,8330,1
4115,Hindi,3,भाषा भारती,डॉ ए के शर्मा,होली सिटी,2014,37,Good,8330,1
4116,Hindi,5,संकल्प,श्रीमती पारस गुप्ता,लैंडमार्क्स बुक्स प्राइवेट लिमिटेड,2009,105,Good,8330,1
4117,Hindi,8,भाषा मंथन,त्रिलोक कौशिक राजेश कुमार विद्यार्थी,हेल्पलाइन,2007,124,Good,8330,1
4118,Hindi,5,बिखरे मोती,गिरिजा गोस्वामी,किड्स वर्ल्ड,2007,140,Good,8330,1
4119,Hindi,5,संगिनी,"आर पी श्रीवास्तव ,एस के मित्तल",फैक एजुकेशन एप्स,2014,211,Good,8330,1
4120,Hindi,8,हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,2005,250,Good,8330,1
4121,Hindi,1,नवरंग सरल हिंदी,डॉक्टर शारदा भसीन,ओरिएंटल लोंगमैन,2003,50,Good,8330,1
4122,Hindi,6,राष्ट्रीय भाषा भारती,"गंगा दत्त शर्मा ,डॉक्टर सुरेश पंथ",अविचल पब्लिशिंग,2010,72,Good,8330,1
4123,Hindi,5,पराग,मनीष शर्मा,सृजन,2016,289,Good,8330,1
4124,Hindi,8,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,310,Good,8330,1
4125,Hindi,7,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,300,Good,8330,1
4126,Hindi,6,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,295,Good,8330,1
4127,Hindi,5,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,250,Good,8330,1
4128,Hindi,4,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,240,Good,8330,1
4129,Hindi,3,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,230,Good,8330,1
4130,Hindi,2,राष्ट्रीय वाणी,विश्वनाथ भरद्वाज,गोयल ब्रदर्स प्रकाशन,2009,36,Good,8330,1
4131,Hindi,,भाषा बोध,श्रीमती विनीता गौतम,गौतम ब्रदर्स,2009,28,Good,8330,1
4132,Hindi,3,व्याकरण आनंद,"प्रभा शर्मा ,  गीता रॉय",सोनका,2017,140,Good,8330,1
4133,Hindi,7,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2018,300,Good,8330,1
4134,Hindi,8,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2018,300,Good,8330,1
4135,Hindi,6,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2018,280,Good,8330,1
4136,Hindi,5,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2017,230,Good,8330,1
4137,Hindi,5,मेधा,"शैलेश ठाकुर, मीना श्रीवास्तव ,कुमकुम",कृति पब्लिकेशन,2015,315,Good,8330,1
4138,Hindi,7,हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,2015,250,Good,8330,1
4139,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2015,225,Good,8330,1
4140,Hindi,7,वसुधा,हरिश्चंद्र,सोम सुधा प्रकाशन,2012,170,Good,8330,1
4141,Hindi,7,संचय,डॉक्टर कुमुद शर्मा,स्टार पब्लिकेशन,-,195,Good,8330,1
4142,Hindi,7, हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,,250,Good,8330,1
4143,Hindi,7,राष्ट्रभाषा,डॉक्टर सुरिंदर कौर,एवरग्रीन पब्लिकेशन,2013,180,Good,8330,1
4144,Hindi,7,हिंदी पाठमाला,निदा फातिमा,अफेक्शन पब्लिकेशन प्राइवेट लिमिटेड,2017,295,Good,8330,1
4145,Hindi,7,हिंदी अनुपम धारा,"मधुबाला रस्तोगी, कैलाश नाथ",आर टी पब्लिशर्स,2013,170,Good,8330,1
4146,Hindi,7,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिशर्स,-,215,Good,8330,1
4147,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिशर्स,,225,Good,8330,1
4148,Hindi,8,हिंदी पाठमाला,निदा फातिमा,एजुकेशन पब्लिकेशन प्राइवेट लिमिटेड,2017,305,Good,8330,1
4149,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,,210,Good,8330,1
4150,Hindi,8,वसुधा,हरिश्चंद्र,सोम सुधा प्रकाशन,2012,180,Good,8330,1
4151,Hindi,8,अनुगूंज,इंदिरा वेद,एडयू लाइन पब्लिशर्स,2017,290,Good,8330,1
4152,Hindi,8,राष्ट्रीय भाषा,"डॉ सुरेंद्र कौर , श्रीमती कविता रफी",एवरग्रीन पब्लिकेशन,2013,180,Good,8330,1
4153,Hindi,8,निर्झर,"डॉ मंजू तिवारी , विनोद तिवारी",गौतम ब्रदर्स एंड कंपनी,,100,Good,8330,1
4154,Hindi,6,नर्चर,नेहा गॉड,नेचर इंडिया पब्लिकेशन,2018,265,Good,8330,1
4155,Hindi,4,हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,2018,235,Good,8330,1
4156,Hindi,2,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2018,155,Good,8330,1
4157,Hindi,4,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2018,180,Good,8330,1
4158,Hindi,5,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2018,195,Good,8330,1
4159,Hindi,6,गरिमा,"वीरेंद्र जैन ,डॉक्टर प्रदीप कुमार जैन",मधुबन,2018,330,Good,8330,1
4160,Hindi,4,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4161,Hindi,2,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4162,Hindi,5,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4163,Hindi,5,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4164,Hindi,4,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4165,Hindi,2,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4166,Hindi,3,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4167,Hindi,1,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4168,Hindi,,अक्षर लेखन,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4169,Hindi,,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,1
4170,Hindi,5,नर्चर प्रबुद्ध,नेहा गौर,नर्चर इंडिया पब्लिकेशन,2016,125,Good,8330,1
4171,Hindi,2,नर्चर प्रबुद्ध,नेहा गौर,नर्चर इंडिया पब्लिकेशन,2016,125,Good,8330,1
4172,Hindi,3,नर्चर प्रबुद्ध,नेहा गौर,नर्चर इंडिया पब्लिकेशन,2016,125,Good,8330,1
4173,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,2016,125,Good,8330,1
4174,Hindi,,चंद्रशेखर,बंकिमचंद्र,हिंदी पॉकेट बुक्स,1990,15,satisfactory,8330,3
4175,Hindi,,कुमार देवी,लीलावती मुंशी,किताब महल,1956,0,satisfactory,8330,3
4176,Hindi,,राजा बदल,विमल मित्र,राजकमल प्रकाशन,1989,50,satisfactory,8330,3
4177,Hindi,,नवानी मसनद,अमृतलाल नगर,राजपाल एंड संस,1987,25,satisfactory,8330,3
4178,Hindi,,महाराणा प्रताप,विश्वनाथ,शिक्षा भारती,1979,2,satisfactory,8330,3
4179,Hindi,,दुर्गेश नंदिनी,वकील चंद्र चट्टोपाध्याय,भारतीय भाषा प्रकाशन,1989,40,satisfactory,8330,3
4180,Hindi,,कुमुदिनी,रविंद्र नाथ टैगोर,सन्मार्ग प्रकाशन,1969,6,satisfactory,8330,3
4181,Hindi,,मंजिल से दूर,सत्य प्रकाश सागर,राजकमल प्रकाशन,1966,3,satisfactory,8330,3
4182,Hindi,,प्रियदर्शनी,वीरेंद्र कुमार गुप्ता,राजपाल एंड संस,1984,30,satisfactory,8330,3
4183,Hindi,,मोहिनी,विमल कर,,1979,35,satisfactory,8330,3
4184,Hindi,,लोकवादी तुलसीदास,नाथ त्रिपाठी,राधा कृष्ण,1991,80,satisfactory,8330,3
4185,Hindi,,आईना बोल उठा,देवेंद्र नाथ शर्मा,राजपाल एंड संस,1991,2.25,satisfactory,8330,3
4186,Hindi,,रघुवंश,महाकवि कालिदास,,1989,15,satisfactory,8330,3
4187,Hindi,,अमरबेल बलिदान,डॉ रूप सिंह चंदेल,,1991,15,satisfactory,8330,3
4188,Hindi,,अर्ध कुंभ की यात्रा,शैलेश मटियानी,हिंदी पॉकेट बुक्स,1985,12,satisfactory,8330,3
4189,Hindi,,चित्रकूट के घाट पर,विवेकी राय,प्रभात प्रकाशन,1988,40,satisfactory,8330,3
4190,Hindi,,विलासी,शरत चंद्र चट्टोपाध्याय,,1969,2.5,satisfactory,8330,3
4191,Hindi,,जमनिया का बाबा,नागार्जुन,किताब महल,1968,0,satisfactory,8330,3
4192,Hindi,,चरित्र,विमल मित्र,राजपाल एंड संस,1981,15,satisfactory,8330,3
4193,Hindi,,यह किसका लहू गिरा है,करतार सिंह दुग्गल,किताब घर,1991,50,satisfactory,8330,3
4194,Hindi,,दरारे,विनोद रस्तोगी,दी अपर इंडिया पब्लिकेशन हाउस,0,5.5,satisfactory,8330,3
4195,Hindi,,निरीक्षण,हरि कृष्ण दास गुप्त हरि,सुंदर साहित्य सदन,1969,0,satisfactory,8330,3
4196,Hindi,,वैष्णव की फिसलन,हरिशंकर परसाई,राजकमल पेपर बैग,1996,30.5,satisfactory,8330,3
4197,Hindi,,युग छाया ,शिवदान सिंह चौहान,राजकमल प्रकाशन,0,25,satisfactory,8330,3
4198,Hindi,,भारत दर्शन राजस्थान,यादवेंद्र शर्मा चंद्र,राजपाल एंड संस,1973,2.5,satisfactory,8330,3
4199,Hindi,,कृष्णा सोबती,मित्रो मरजानी,राजकमल पेपर बैग,1983,6,satisfactory,8330,3
4200,Hindi,,शेफाली,अभिमन्यु अनंत,राजपाल एंड संस,1979,12,satisfactory,8330,3
4201,Hindi,,कादंबरी,श्रीमान भट्ट,न्यू बिल्डिंग,0,7.5,satisfactory,8330,3
4202,Hindi,,विकास की पगडंडियों,शिवा पुत्र,साहित्य प्रकाशन,1988,12,satisfactory,8330,3
4203,Hindi,,वाल्मीकि रामायण,बाल्मीकि,राजपाल एंड संस,1983,15,satisfactory,8330,3
4204,Hindi,,18 सूरज के पौधे,रमेश बक्षी,राजकमल पेपर बैग,1984,6,satisfactory,8330,3
4205,Hindi,,टूटा हुआ इंद्रधनुष,मंजुल भगत,राजकुमार पेपर बैग,1993,12,satisfactory,8330,3
4206,Hindi,,7 रन एकांकी,डॉ लक्ष्मी नारायण लाल,राजकमल प्रकाशन,1969,3,satisfactory,8330,3
4207,Hindi,,आनंद मत,वकील चंद्र,हिंदी पॉकेट बुक्स,1990,16,good,8330,3
4208,Hindi,,भारत रत्न से सम्मानित महान विभूतियां,विनोद तिवारी,मनोज पब्लिकेशन,2017,80,good,8330,3
4209,Hindi,,अग्निशिखा,डॉक्टर राजकुमार वर्मा,राजपाल एंड संस,1989,25,good,8330,3
4210,Hindi,,सलमा,गौरीशंकर राजहंस,राजपाल एंड,1982,14,good,8330,3
4211,Hindi,,पार्लियामेंट स्ट्रीट,भट्टाचार्य,सन्मार्ग प्रकाशन,1969,5,good,8330,3
4212,Hindi,,मेरी प्रिय कहानियां,अमृतलाल नगर,राजपाल एंड संस,1981,12,good,8330,3
4213,Hindi,,तूफान के बाद,यज्ञदत्त शर्मा,साहित्य प्रकाशन,1975,10,good,8330,3
4214,Hindi,,व्यक्तित्व का विकास,स्वेट मार्डन,नया साहित्य,1991,40,good,8330,3
4215,Hindi,,भारत की सांस्कृतिक कहानी,रामधारी सिंह दिनकर,नेशनल पब्लिशिंग हाउस,1987,12,good,8330,3
4216,Hindi,3,संचय,डॉक्टर कुमुद शर्मा,3 स्टार पब्लिकेशन,0,165,good,8330,1
4217,Hindi,6,हिंदी सुरभी,कविता शर्मा,मनीक जुनेजा,0,250,good,8330,1
4218,Hindi,1,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2016,190,good,8330,1
